id,predictionDate,duration_months,credit_amount,installment_rate,present_residence_since,age_years,number_existing_credits,checking_status,credit_history,purpose,savings_account,present_employment_since,debtors_guarantors,property,installment_plans,housing,job,number_people_liable,telephone,foreign_worker,gender,label,score
0,2025-08-21T20:10:20,6,1169,4,4,44,2,A11,A34,A43,A65,A75,A101,A121,A143,A152,A173,1,A192,A201,male,0,0
1,2025-08-21T20:10:20,23,5951,2,2,48,1,A12,A32,A43,A61,A73,A101,A121,A143,A152,A173,2,A191,A201,female,1,0
2,2025-08-21T20:10:20,12,2096,2,3,23,1,A14,A34,A46,A61,A74,A101,A121,A143,A152,A172,3,A191,A201,male,0,0
3,2025-08-21T20:10:20,42,7882,3,4,26,2,A11,A32,A42,A61,A74,A103,A122,A143,A153,A173,1,A191,A201,male,0,0
4,2025-08-21T20:10:20,24,4870,3,4,36,1,A11,A33,A40,A61,A73,A101,A124,A143,A153,A173,1,A191,A201,male,1,1
5,2025-08-21T20:10:20,36,9055,3,4,39,1,A14,A32,A46,A65,A73,A101,A124,A143,A153,A172,1,A192,A201,male,0,0
6,2025-08-21T20:10:20,36,2835,2,4,42,2,A14,A32,A42,A63,A75,A101,A122,A143,A152,A173,1,A191,A201,male,0,0
7,2025-08-21T20:10:20,36,6948,2,2,34,1,A12,A32,A41,A61,A73,A101,A123,A143,A151,A174,1,A192,A201,male,0,0
8,2025-08-21T20:10:20,36,3059,4,4,63,1,A14,A32,A43,A64,A74,A101,A121,A143,A152,A172,1,A191,A201,male,0,0
9,2025-08-21T20:10:20,36,5234,3,2,36,2,A12,A34,A40,A61,A71,A101,A123,A143,A152,A174,1,A191,A201,male,1,1
10,2025-08-21T20:10:20,36,1295,3,2,27,1,A12,A32,A40,A61,A72,A101,A123,A143,A151,A173,1,A191,A201,female,1,1
11,2025-08-21T20:10:20,36,4308,3,3,44,1,A11,A32,A49,A61,A72,A101,A122,A143,A151,A173,1,A191,A201,female,1,0
12,2025-08-21T20:10:20,36,1567,2,3,48,1,A12,A32,A43,A61,A73,A101,A123,A143,A152,A173,1,A192,A201,female,0,0
13,2025-08-21T20:10:20,36,1199,2,3,23,1,A11,A34,A40,A61,A75,A101,A123,A143,A152,A172,1,A191,A201,male,1,1
14,2025-08-21T20:10:20,36,1403,4,2,26,1,A11,A32,A40,A61,A73,A101,A123,A143,A151,A173,1,A191,A201,female,0,0
